OBJECTID__;Shape__;maTinh;tenXa;maXa;danSo;dienTich;ORIG_FID;POINT_X;POINT_Y;NDVI_HCM_B;LST_HCM_BD;TDVI_HCM_B
83;Point;701;Phuong Phu Loi;71101039;95516;26.79;83;106,67769200000;10,98912200000;0,15220000000;34,03000000000;0,80758900438
84;Point;701;Xa Long Dien;71712026;29479;87.72;84;107,22378800000;10,46760000000;;;
85;Point;701;Xa Thuong Tan;71117052;21238;120.7;85;106,91662300000;11,10017500000;;;
86;Point;701;Phuong Tang Nhon Phu;70145133;208233;16.51;86;106,80548000000;10,84388800000;;;
87;Point;701;Xa Minh Thanh;71113059;24215;159.06;87;106,47500700000;11,44833900000;;;
88;Point;701;Xa Ho Tram;71707019;51895;94.51;88;107,39748600000;10,52218800000;;;
89;Point;701;Phuong Tan Khanh;71105044;126393;38.23;89;106,74613100000;10,99979100000;;;
90;Point;701;Phuong Tan Hai;71709011;30297;51.86;90;107,10298500000;10,51175100000;0,43600000000;29,63000000000;0,96747092980
91;Point;701;Phuong Rach Dua;71701003;76281;19.7;91;107,11341800000;10,39001500000;;;
92;Point;701;Phuong Long Phuoc;70145135;53092;34.29;92;106,85034100000;10,80645900000;;;
93;Point;701;Phuong Binh Thanh;70129105;1263;3.32;93;106,70490100000;10,81095200000;;;
94;Point;701;Phuong Tay Nam;71113047;56784;119.8;94;106,49395900000;11,17494600000;0,47960000000;33,21000000000;0,98974744253
95;Point;701;Xa Hoa Hoi;71707021;36174;136.27;95;107,42388400000;10,63000600000;0,67000000000;30,33000000000;1,08166538264
96;Point;701;Xa Kim Long;71705015;33369;63.92;96;107,21428300000;10,68060900000;0,75010000000;29,13000000000;1,11807870922
97;Point;701;Phuong An Hoi Dong;70125112;123681;3.29;97;106,66565500000;10,85049300000;0,38520000000;32,29000000000;0,94085067891
98;Point;701;Phuong Binh Tien;70111077;9152;1.61;98;106,64301200000;10,74257200000;0,30370000000;;0,89649316785
99;Point;701;Xa Dau Tieng;71113061;39056;182.69;99;106,38843600000;11,34751500000;0,73980000000;33,01000000000;1,11346306629
100;Point;701;Phuong Ben Thanh;70101065;71785;1.85;100;106,69315000000;10,77162500000;;;
101;Point;701;Phuong Vuon Lai;70119088;104076;1.28;101;106,67383900000;10,76666800000;;;
102;Point;701;Phuong Phuoc Thang;71701004;52589;47.35;102;107,16245000000;10,42296800000;;;
103;Point;701;Xa Hung Long;70139146;71504;35.54;103;106,64461100000;10,65936900000;0,65510000000;29,59000000000;1,07475578621
104;Point;701;Phuong Binh Dong;70115086;155555;8.93;104;106,63340400000;10,71699500000;0,61220000000;;1,05460893226
105;Point;701;Phuong Thoi An;70123097;125657;14.9;105;106,66614200000;10,87919600000;0,19680000000;35,57000000000;0,83474547019
106;Point;701;Phuong Phu Thanh;70128128;10378;2.99;106;106,62810200000;10,77190000000;0,32010000000;30,85000000000;0,90559372789
107;Point;701;Phuong Bay Hien;70127121;132252;2.86;107;106,64857300000;10,79220700000;;;
108;Point;701;Phuong Dien Hong;70119087;75633;1.86;108;106,66229700000;10,76919000000;;;
109;Point;701;Phuong Dong Hoa;71109028;132056;21.89;109;106,80033200000;10,89353500000;;;
110;Point;701;Phuong Binh Trung;70145138;121382;14.82;110;106,76204800000;10,79367500000;;;
111;Point;701;Phuong Tan Hung;70113083;153674;8.54;111;106,70710600000;10,73605400000;;;
112;Point;701;Phuong Hiep Binh;70145129;215638;16.01;112;106,72058000000;10,84332300000;0,71720000000;30,17000000000;1,10326787318
113;Point;701;Xa Bac Tan Uyen;71117051;27964;143.69;113;106,86612500000;11,16936300000;;;
114;Point;701;Xa Thai My;70135153;49862;62.44;114;106,42010200000;11,02201000000;0,63710000000;31,69000000000;1,06634891100
115;Point;701;Phuong Di An;71109029;227817;21.38;115;106,76201800000;10,90614000000;;;
116;Point;701;Phuong An Khanh;70145140;76967;15.33;116;106,72787800000;10,78554500000;;;
